"Year","SpawnStart","SpawnPeak","SpawnEnd","HaStart","HaPeak","EmStart","EmPeak"
2008,2007-11-02,2007-12-04,2007-12-31,2008-01-07,2008-02-04,2008-03-27,2008-04-11
2009,2008-11-10,2008-12-02,2008-12-29,2009-02-02,2009-03-08,2009-04-09,2009-04-24
2010,2009-11-12,2009-12-09,2009-12-29,2010-01-13,2010-03-04,2010-04-01,2010-04-20
2011,2010-11-07,2010-11-24,2010-12-13,2011-01-11,2011-02-27,2011-04-03,2011-04-21
2012,2011-11-06,2011-12-06,2011-12-31,2012-01-09,2012-02-11,2012-03-18,2012-04-05
2013,2012-11-03,2012-12-02,2012-12-30,2013-01-12,2013-02-08,2013-03-31,2013-04-18
2014,2013-11-13,2013-12-07,2013-12-31,2014-01-23,2014-03-11,2014-04-16,2014-04-30
2015,2014-11-03,2014-12-03,2014-12-31,2015-01-16,2015-02-11,2015-03-31,2015-04-18
2016,2015-11-30,2015-12-15,2015-12-31,2016-01-24,2016-02-15,2016-04-01,2016-04-11
2017,2016-11-20,2016-12-10,2016-12-31,2017-01-25,2017-02-12,2017-03-26,2017-04-06
2018,2017-11-11,2017-12-03,2017-12-25,2018-01-17,2018-03-01,2018-04-05,2018-04-25
2019,2018-11-18,2018-12-09,2018-12-31,2019-01-27,2019-02-20,2019-04-06,2019-04-18
2020,2019-11-09,2019-12-05,2019-12-31,2020-01-20,2020-02-09,2020-03-23,2020-04-03
2021,2020-11-28,2020-12-14,2020-12-31,2021-02-01,2021-02-25,2021-04-07,2021-04-17
2022,2021-11-14,2021-12-07,2021-12-31,2022-01-21,2022-02-14,2022-03-30,2022-04-11
2023,2022-11-14,2022-12-04,2022-12-31,2023-01-24,2023-02-11,2023-03-25,2023-04-03
2024,2023-11-02,2023-12-03,2023-12-31,2024-01-09,2024-02-15,2024-03-17,2024-04-07
2025,2024-11-14,2024-12-07,2024-12-31,2025-01-24,2025-03-06,2025-04-01,2025-04-17
2026,2025-11-11,2025-12-05,2025-12-29,2026-01-20,2025-12-06,NA,2025-12-07
