"Year","WinSpawnLen","WinSpawnStart","WinSpawnPeak","WinSpawnEnd","WinHatchStart","WinHatchPeak","WinEmergStart","WinEmergPeak","SprSpawnLen","SprSpawnStart","SprSpawnPeak","SprSpawnEnd","SprHatchStart","SprHatchPeak","SprEmergStart","SprEmergPeak"
2008,30,2007-12-16,2007-12-30,2008-01-14,2008-01-26,2008-02-16,2008-03-12,2008-03-27,36,2008-02-05,2008-03-29,2008-05-15,2008-03-27,2008-04-27,2008-04-18,2008-05-17
2009,11,2008-12-15,2008-12-22,2009-01-06,2009-02-12,2009-02-22,2009-03-22,2009-03-27,41,2009-02-12,2009-03-31,2009-05-11,2009-03-30,2009-04-30,2009-04-21,2009-05-18
2010,16,2009-12-15,2009-12-22,2010-01-01,2010-02-03,2010-02-13,2010-03-18,2010-03-24,25,2010-03-09,2010-03-25,2010-05-19,2010-04-13,2010-04-24,2010-05-01,2010-05-10
2011,0,NA,NA,NA,NA,NA,NA,NA,36,2011-02-28,2011-03-24,2011-04-19,2011-04-08,2011-04-25,2011-04-28,2011-05-10
2012,24,2011-12-17,2011-12-29,2012-01-13,2012-01-28,2012-02-14,2012-03-04,2012-03-16,34,2012-02-02,2012-03-07,2012-03-29,2012-03-17,2012-04-08,2012-04-07,2012-04-25
2013,22,2012-12-15,2012-12-27,2013-01-15,2013-01-29,2013-02-13,2013-03-11,2013-03-26,20,2013-02-24,2013-04-08,2013-05-12,2013-04-11,2013-05-06,2013-05-01,2013-05-22
2014,17,2013-12-15,2013-12-23,2014-01-01,2014-02-07,2014-02-22,2014-03-28,2014-04-04,24,2014-03-20,2014-04-11,2014-05-20,2014-04-25,2014-05-09,2014-05-12,2014-05-25
2015,32,2014-12-15,2014-12-30,2015-01-15,2015-01-26,2015-02-13,2015-03-05,2015-03-23,23,2015-03-21,2015-04-03,2015-04-23,2015-04-26,2015-05-04,2015-05-11,2015-05-18
2016,15,2015-12-20,2016-01-06,2016-01-15,2016-01-25,2016-02-25,2016-03-10,2016-03-27,19,2016-03-08,2016-03-17,2016-04-10,2016-04-10,2016-04-17,2016-04-27,2016-05-02
2017,29,2016-12-15,2016-12-29,2017-01-15,2017-01-23,2017-02-09,2017-02-23,2017-03-10,47,2017-02-01,2017-03-05,2017-04-08,2017-03-13,2017-04-10,2017-04-07,2017-04-27
2018,11,2017-12-15,2017-12-20,2017-12-25,2018-02-12,2018-02-19,2018-03-20,2018-03-25,42,2018-02-12,2018-03-23,2018-04-22,2018-03-30,2018-04-27,2018-04-23,2018-05-13
2019,30,2018-12-15,2018-12-29,2019-01-15,2019-01-24,2019-02-13,2019-03-06,2019-03-22,41,2019-02-06,2019-03-28,2019-04-29,2019-03-25,2019-04-30,2019-04-18,2019-05-15
2020,28,2019-12-15,2019-12-29,2020-01-15,2020-01-25,2020-02-10,2020-02-27,2020-03-13,45,2020-02-02,2020-03-02,2020-04-16,2020-03-15,2020-04-05,2020-04-06,2020-04-24
2021,28,2020-12-16,2020-12-29,2021-01-12,2021-01-25,2021-02-14,2021-03-08,2021-03-22,30,2021-03-01,2021-03-23,2021-04-14,2021-04-08,2021-04-22,2021-04-27,2021-05-07
2022,20,2021-12-15,2021-12-28,2022-01-15,2022-01-24,2022-02-13,2022-03-07,2022-03-19,36,2022-02-24,2022-03-20,2022-04-12,2022-04-03,2022-04-20,2022-04-24,2022-05-06
2023,18,2022-12-15,2022-12-27,2023-01-13,2023-01-29,2023-02-11,2023-03-02,2023-03-11,46,2023-02-01,2023-03-02,2023-04-04,2023-03-13,2023-04-05,2023-04-05,2023-04-22
2024,19,2023-12-15,2023-12-26,2024-01-11,2024-02-01,2024-02-13,2024-03-04,2024-03-14,48,2024-02-01,2024-03-04,2024-04-07,2024-03-14,2024-04-07,2024-04-06,2024-04-25
2025,15,2024-12-15,2024-12-24,2025-01-02,2025-02-09,2025-02-21,2025-03-19,2025-03-25,20,2025-02-07,2025-03-15,2025-03-27,2025-03-25,2025-04-15,2025-04-14,2025-05-01
2026,17,2025-12-17,2025-12-28,2026-01-11,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
